"","name","n.models","importance"
"Air","AverageAnnualProductionperCowlbs",31931,1
"AverageAnnualProductionperCowlbs","Howofteniseachcowmilkedperday",31931,1
"avghum","NumberofMilkingCows",31931,1
"avgtemp","Commodity",4090,0.664029055348234
"Bedding","Howoftenisbeddingtoppedupchangedperweek",4090,0.60893969123977
"BeddingRecycledManure","Manure",4090,0.4766890619831
"BeddingSand","Filter",4090,0.372113267092588
"BeddingSawdust","Air",4090,0.346502684247631
"Commodity","WW",4090,0.079791300345968
"DW","Equip",4090,0.0735610333735225
"Equip","UddersClippedFlamed",4090,0.0635504527189216
"Filter","BeddingRecycledManure",4090,0.0564054478494276
"Howoftenarealleyscleanedpermonth","Towel",4090,0.049548581573305
"Howoftenaremilkingunitsrinsedorsanitized","PredipPeroxide",4090,0.0427327083886505
"Howoftenisbeddingtoppedupchangedperweek","BeddingSawdust",4090,0.0416178907113169
"Howofteniseachcowmilkedperday","totalrain",4090,0.0412269197321466
"Howoftenisthefiltersockchangedperday","PredipIodine",4090,0.0410456376053607
"hygiene","ICM",4090,0.0400799909794542
"ICM","BeddingSand",4090,0.0325721261849949
"Manure","Soil",4090,0.0318472110631888
"NumberofMilkingCows","hygiene",4090,0.0294478510714748
"PredipIodine","Bedding",4090,0.0289710311095516
"PredipPeroxide","Teat",4090,0.028389237270963
"Silage","DW",4090,0.0180050886985426
"Soil","Silage",4090,0.0143801870661618
"TailsDocked","TailsDocked",4090,0.0130645622203994
"Teat","water_pond_well",4090,0.0125538297886146
"totalrain","Whattypeoftowel",4090,0.00600060989691786
"Towel","Howoftenisthefiltersockchangedperday",4090,0.00568861305949621
"UddersClippedFlamed","Howoftenarealleyscleanedpermonth",4090,0.00372723079047351
"water_pond_well","Howoftenaremilkingunitsrinsedorsanitized",4090,0.00258484041645373
"Whattypeoftowel","avgtemp",4090,0.00208806359058249
"WW","avghum",4090,0.00134354384040341
